id,first name,last name,id number,email address,quiz: theory test 1 (real),quiz: theory test 2 (real),quiz: theory test 3 (real),quiz: theory test 4 (real),theory tests total (real),assignment: practical test 1 (real),assignment: practical test 2 (real),assignment: practical test 3 (real),assignment: practical test 4 (real),practical tests total (real),assignment: homework 1 (real),assignment: homework 2 (real),assignment: homework 3 (real),assignment: homework 4 (bryce checking) (real),homework total (real),attendance: engagement with teaching staff (real),attendance: lab exercises (real),engagement total (real),assignment: final project - code submission (real),assignment: final project - individual report (real),project total (real),paper total (real),last downloaded from this paper,grade level,comments
1,Paityn,Che,1876224,paityn.che@outlook.com,20.5,17.5,14,19.83,65.11,86,69,66,42.5,76.5,7.5,95,90,76,88.75,16,16,100,64.9,8,66.41,78,1723606596,,
2,Alvaro,Adriane,1470198,alvaro.adriane@outlook.com,20.5,14,14.5,20.16,62.38,64.2,89,49,35.5,68.3,8.5,25,67,58,62.38,16,16,100,91.5,4.5,86.85,74,1723606596,,
3,Hasan,Golda,1986939,hasan.golda@waikato.ac.nz,25,12.5,13.5,23.16,66.13,92,100,88,45.5,92.75,10,90,100,74,95.63,16,16,100,91.5,10,92.35,90,1723606596,,
4,Emile,Valentin,1056613,emile.valentin@outlook.com,20.5,13.5,20.5,19.5,67.33,91,92,74,41.5,85,10,80,90,68,88.75,16,16,100,62.7,9,65.43,81,1723606596,,
5,Minta,Livia,1555220,minta.livia@waikato.ac.nz,24.5,17.5,21.5,18.5,74.83,100,86,83,50,92.25,10,100,100,77,99.06,16,16,100,82.5,9,83.25,90,1723606596,,
6,Williemae,Chris,1598038,williemae.chris@waikato.ac.nz,20.5,21.5,19.5,24.66,78.63,92,86,90,47,90.5,8.5,85,100,58,85.63,16,16,100,91.5,9,91.35,90,1723606596,,
7,Tangela,Fed,1149957,tangela.fed@outlook.com,20.5,16,16,15,61.58,91,90,58,34,76.75,10,80,90,61,86.56,16,16,100,62.7,9,65.43,77,1723606596,,
8,Marcellus,Glynn,1615645,marcellus.glynn@gmail.com,22,22.5,18.5,19.66,75.72,93,93,95,50,95.25,9.5,100,95,74,95.63,16,16,100,64.9,9,67.41,88,1723606596,,
9,Adella,Payten,1361051,adella.payten@gmail.com,28,22,19,27.16,86.97,100,100,100,50,100,10,100,100,77,99.06,16,16,100,82.5,10,84.25,95,1723606596,,
10,Janene,Aimee,1571807,janene.aimee@waikato.ac.nz,13.5,9,5.83,9,33.58,39,98,97,49.5,83.25,8,97,90,68,88,14,16,93.75,82.5,8,82.25,78,1723606596,,
