first name,last name,id number,email address,quiz: theory test 1 (real),quiz: theory test 2 (real),quiz: theory test 3 (real),quiz: theory test 4 (real),theory tests total (real),assignment: practical test 1 (real),assignment: practical test 2 (real),assignment: practical test 3 (real),assignment: practical test 4 (real),practical tests total (real),assignment: homework 1 (real),assignment: homework 2 (real),assignment: homework 3 (real),assignment: homework 4 (bryce checking) (real),homework total (real),attendance: engagement with teaching staff (real),attendance: lab exercises (real),engagement total (real),assignment: final project - code submission (real),assignment: final project - individual report (real),project total (real),paper total (real),last downloaded from this paper,grade level,comments
Paityn,Che,1876224,paityn.che@outlook.com,20.5,17.5,14.0,19.83,65.11,86.0,69,66,42.5,76.5,7.5,95,90,76,88.75,16,16,100.0,64.9,8.0,66.41,78,1723606596,,
Alvaro,Adriane,1470198,alvaro.adriane@outlook.com,20.5,14.0,14.5,20.16,62.38,64.2,89,49,35.5,68.3,8.5,25,67,58,62.38,16,16,100.0,91.5,4.5,86.85,74,1723606596,,
Hasan,Golda,1986939,hasan.golda@waikato.ac.nz,25.0,12.5,13.5,23.16,66.13,92.0,100,88,45.5,92.75,10.0,90,100,74,95.63,16,16,100.0,91.5,10.0,92.35,90,1723606596,,
Emile,Valentin,1056613,emile.valentin@outlook.com,20.5,13.5,20.5,19.5,67.33,91.0,92,74,41.5,85.0,10.0,80,90,68,88.75,16,16,100.0,62.7,9.0,65.43,81,1723606596,,
Minta,Livia,1555220,minta.livia@waikato.ac.nz,24.5,17.5,21.5,18.5,74.83,100.0,86,83,50.0,92.25,10.0,100,100,77,99.06,16,16,100.0,82.5,9.0,83.25,90,1723606596,,
Williemae,Chris,1598038,williemae.chris@waikato.ac.nz,20.5,21.5,19.5,24.66,78.63,92.0,86,90,47.0,90.5,8.5,85,100,58,85.63,16,16,100.0,91.5,9.0,91.35,90,1723606596,A,shit
Tangela,Fed,1149957,tangela.fed@outlook.com,20.5,16.0,16.0,15.0,61.58,91.0,90,58,34.0,76.75,10.0,80,90,61,86.56,16,16,100.0,62.7,9.0,65.43,77,1723606596,,
Marcellus,Glynn,1615645,marcellus.glynn@gmail.com,22.0,22.5,18.5,19.66,75.72,93.0,93,95,50.0,95.25,9.5,100,95,74,95.63,16,16,100.0,64.9,9.0,67.41,88,1723606596,,
Adella,Payten,1361051,adella.payten@gmail.com,28.0,22.0,19.0,27.16,86.97,100.0,100,100,50.0,100.0,10.0,100,100,77,99.06,16,16,100.0,82.5,10.0,84.25,95,1723606596,A+,Good
Janene,Aimee,1571807,janene.aimee@waikato.ac.nz,13.5,9.0,5.83,9.0,33.58,39.0,98,97,49.5,83.25,8.0,97,90,68,88.0,14,16,93.75,82.5,8.0,82.25,78,1723606596,A+,Good
