id,paper code,first name,last name,id number,email address,external tool  laboratory 1   osmosis   2024  real ,external tool  cells and microscopy  real ,external tool  post lab   heart and lung dissection   2024  ,external tool  acids   bases  blood  real ,external tool  lab  musculoskeletal   deer knee dissection  ,external tool  pre lab 6  endocrine and histology  real ,external tool  pre lab one  introduction to lt and your prac,external tool  pre lab  cells and microscopy  real ,external tool  pre lab 2 the heart and lungs  2024  real ,external tool  pre lab four  acids   bases  blood  real ,external tool  pre lab  musculoskeletal  real ,external tool  nurse102   lab 6  endocrine  uranalysis and h,assignment  mcq 1  20    real ,assignment  mcq 2  20    real ,assignment  saq 1  15    real ,assignment  saq 2  15    real ,paper total  real ,last downloaded from this paper,grade level,comments
1,NURSE102-24A (HAM),Elmore,Boyce,1486079,elmore.boyce@gmail.com,13,8.8,15,20.5,13.8,5,4.8,5,4,12,10,15.5,47.5,72.5,55,28.3,64.88,1723606055,,
2,NURSE102-24A (HAM),Jule,Seamus,1610657,jule.seamus@outlook.com,11,8.5,14.5,17,12.5,4,5,4,4,12,8,10.5,48.75,77.5,20,45,60.12,1723606055,,
3,NURSE102-24A (HAM),Yvonne,Elias,1892976,yvonne.elias@gmail.com,13.5,5.5,14,17,9.3,5,3.2,5,5,10.5,7,11.5,57.5,87.5,46.7,81.7,72.48,1723606055,,
4,NURSE102-24A (HAM),Elenora,Zeno,1765300,elenora.zeno@waikato.ac.nz,10,3.5,14.5,19,10.5,4,5,5,3.5,9,9,11.6,37.5,67.5,50,28.3,55.41,1723606055,,
5,NURSE102-24A (HAM),Janette,Barron,1403977,janette.barron@waikato.ac.nz,14.5,9.5,14.9,21.5,13,4.7,5,5,4.5,11.5,10,15.2,90,92.5,75,78.3,88.33,1723606055,,
6,NURSE102-24A (HAM),Russell,Cole,1155181,russell.cole@gmail.com,13,9.8,14.8,20.5,13.8,5,4.8,4.5,4.5,12,10,16,60,77.5,48.3,71.7,74.26,1723606055,,
7,NURSE102-24A (HAM),Lenord,Mikel,1306522,lenord.mikel@waikato.ac.nz,3.5,7,13,10.5,6.8,5,3.3,0,2.3,0,7.2,13.4,45,65,18.3,23.3,45.97,1723606055,,
8,NURSE102-24A (HAM),Dashawn,Hector,1879436,dashawn.hector@outlook.com,10.5,9,14.5,21.5,12,4.3,5,5,4.5,11.5,9.3,12.1,85,87.5,56.7,86.7,82.6,1723606055,,
9,NURSE102-24A (HAM),Jamir,Hughey,1854320,jamir.hughey@outlook.com,14.5,9,15,22,10.8,5,5,4,5,11.5,10,16,100,95,91.7,98.3,95.81,1723606055,,
10,NURSE102-24A (HAM),Tito,Savilla,1544676,tito.savilla@gmail.com,11,8,14.5,20.5,10,5,5,5,5,12,10,13.5,72.5,80,53.3,56.7,73.43,1723606055,,
